"Gene_name"	"GO_terms"
"acap2"	"GO:0005096, GO:0005515, GO:0046872, GO:0043547, GO:0010008"
"exoc3"	"GO:0000145, GO:0006887, GO:0000149, GO:0051601, GO:0000145, GO:0006887, GO:0000149, GO:0051601"
"slc38a2"	"GO:0016020, GO:0016021"
"xkr8"	"GO:0016021, GO:0016020, GO:0005886, GO:0043652, GO:0070782, GO:1902742"
"gdf5"	"GO:0008083, GO:0005576, GO:0005615, GO:0043408, GO:0010469, GO:0005125, GO:0005160, GO:0010862, GO:0030509, GO:0042981, GO:0048468, GO:0060395"
"gadd45gip1"	"GO:0005634"
"eya3"	"GO:0005667, GO:0007275, GO:0004725, GO:0004721, GO:0016787, GO:0046872, GO:0005634, GO:0016576, GO:0045739, GO:0048856, GO:2001240, GO:0035335, GO:0005667, GO:0007275, GO:0004725, GO:0004721, GO:0016787, GO:0046872, GO:0005634, GO:0016576, GO:0045739, GO:0048856, GO:2001240, GO:0035335"
"ntrk3"	"GO:0007169, GO:0004714, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0016020, GO:0016021, GO:0005887, GO:0018108, GO:0043235, GO:0007399, GO:0043408, GO:0030424, GO:0014068, GO:0043410, GO:0005030, GO:0043121, GO:0010976, GO:0038179, GO:1990090"
"slc35b1"	"GO:0055085, GO:0016020, GO:0016021, GO:0008643"
"mrpl46"	"GO:0016787, GO:0003735, GO:0005762"
"tmtc4"	"GO:0005515, GO:0016020, GO:0016021, GO:0005515, GO:0016020, GO:0016021"
"rac2"	"GO:0007264, GO:0005525, GO:0003924, GO:0005622, GO:0000166, GO:0005886, GO:0005737, GO:0016477, GO:0031410, GO:0019901, GO:0007266, GO:0030031, GO:0030036, GO:0042995, GO:0043197, GO:0008045, GO:0016601, GO:1902622, GO:0007264, GO:0005525, GO:0003924, GO:0005622, GO:0000166, GO:0005886, GO:0005737, GO:0016477, GO:0031410, GO:0019901, GO:0007266, GO:0030031, GO:0030036, GO:0042995, GO:0043197, GO:0008045, GO:0016601, GO:1902622"
"mrps11"	"GO:0005840, GO:0006412, GO:0003735, GO:0048027, GO:0070181, GO:0000028, GO:0000462, GO:0005763"
"pkhd1"	"GO:0010824, GO:0016020, GO:0016021, GO:0005929"
"smc1a"	"GO:0008278, GO:0007064, GO:0003682, GO:0005694, GO:0051276, GO:0006281, GO:0005524, GO:0005515, GO:0005634"
"otop2"	"GO:0016020, GO:0016021"
"mapre3"	"GO:0008017, GO:0005874, GO:0051225, GO:0005815, GO:0031110, GO:0005881, GO:0035371, GO:0051010, GO:0035372, GO:1904825, GO:0051233"
"det1"	""
"galnt12"	"GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0006486, GO:0000139, GO:0030246"
"plscr3"	"GO:0005886, GO:0017128, GO:0017121, GO:0005886, GO:0017128, GO:0017121"
"aen"	"GO:0003676"
"tmprss6"	"GO:0006508, GO:0004252, GO:0005515, GO:0016020, GO:0016021, GO:0016787, GO:0005886, GO:0008233, GO:0008236, GO:0055072, GO:0042730"
"sigmar1"	""
"slc1a3"	"GO:0015293, GO:0016021, GO:0016020, GO:0055085"
"galnt4"	"GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0006486, GO:0000139, GO:0030246"
"nsun6"	"GO:0008168, GO:0003723, GO:0016740, GO:0032259, GO:0008168, GO:0003723, GO:0016740, GO:0032259"
"acan"	"GO:0005540, GO:0007155, GO:0005509, GO:0016020, GO:0016021, GO:0031012, GO:0007417, GO:0001501"
"ush1g"	"GO:0050957, GO:0050953, GO:0007605, GO:0005515"
"calr"	"GO:0006457, GO:0051082, GO:0005783, GO:0005509, GO:0005515, GO:0046872"
"arfgap1"	"GO:0005096, GO:0046872, GO:0043547, GO:0000139, GO:0030100, GO:0032012, GO:0005096, GO:0046872, GO:0043547, GO:0000139, GO:0030100, GO:0032012"
"fads6"	"GO:0006629, GO:0016020, GO:0016021"
"kat7"	"GO:0140110, GO:0016573, GO:0004402, GO:0006355, GO:0005634, GO:0008270, GO:0042393, GO:0045944, GO:0045892, GO:0000790, GO:0043966, GO:0010485, GO:0043967, GO:0000123, GO:0001568, GO:0140110, GO:0016573, GO:0004402, GO:0006355, GO:0005634, GO:0008270, GO:0042393, GO:0045944, GO:0045892, GO:0000790, GO:0043966, GO:0010485, GO:0043967, GO:0000123"
"kctd17"	"GO:0051260, GO:0005515, GO:0005737, GO:0097602, GO:0043161, GO:0031463"
"fdxr"	"GO:0016491, GO:0055114, GO:0005739, GO:0015039, GO:0006744, GO:0016491, GO:0055114, GO:0005739, GO:0015039, GO:0006744"
"hpn"	"GO:0008236, GO:0006508, GO:0070008, GO:0004252, GO:0016020, GO:0016021, GO:0016787, GO:0008233, GO:0008236, GO:0006508, GO:0070008, GO:0004252, GO:0016020, GO:0016021"
"anks6"	"GO:0005515, GO:0005515"
"mpst"	"GO:0004792, GO:0016740"
"ggact"	"GO:0061929, GO:0042219"
"pcca"	"GO:0046872, GO:0005524, GO:0000166, GO:0016874"
"arc"	"GO:0005886, GO:0005737, GO:0015629, GO:0007010, GO:1900271, GO:0048168, GO:2000969"
"ndufaf3"	"GO:0032981, GO:0016020, GO:0005634, GO:0005739, GO:0005743"
"xxylt1"	"GO:0016757, GO:0016020, GO:0016021, GO:0016740"
"adgrb1"	"GO:0016525, GO:0007166, GO:0004888, GO:0016020, GO:0016021, GO:0007186, GO:0004930, GO:0007189, GO:0005887, GO:0007165, GO:0014069, GO:0030425, GO:0043652"
"il17f"	"GO:0005125, GO:0006954, GO:0005576, GO:0010469"
"tst"	""
"fam43a"	""
"dalrd3"	""
"arl5b"	"GO:0005525, GO:0000166, GO:0005737, GO:0006886, GO:0005802, GO:0016192, GO:1903292"
"zmcm3"	"GO:0042555, GO:0006270, GO:0006260, GO:0005524, GO:0003677, GO:0005634, GO:0016787, GO:0000166, GO:0004386, GO:0003682, GO:0060041"
"pcdh8"	"GO:0007156, GO:0005886, GO:0007155, GO:0005509, GO:0016020, GO:0016021, GO:0005887"
"hapln3"	"GO:0005540, GO:0007155, GO:0031012, GO:0007417, GO:0001501"
"lsg1"	"GO:0005525, GO:0005829, GO:0005525, GO:0005829"
"cnmd"	"GO:0016020, GO:0016021, GO:0001886, GO:0001937, GO:0016525, GO:0030948"
"csf2rb"	"GO:0004896, GO:0004888, GO:0016020, GO:0016021, GO:0005515, GO:0019221"
"zic2"	"GO:0003676, GO:0005634, GO:0045944, GO:0000977, GO:0000981, GO:0045892, GO:0007417, GO:0001841, GO:0008589, GO:0009953, GO:0014032, GO:0021536, GO:0021846, GO:0030901, GO:0030902, GO:0033278, GO:0042127, GO:0048385, GO:0048703, GO:0060059, GO:0003676, GO:0005634, GO:0045944, GO:0000977, GO:0000981, GO:0045892, GO:0007417"
"arid2"	"GO:0006355, GO:0003676, GO:0003677, GO:0005634"
"wdr6"	"GO:0005515"
"ncf4"	"GO:0045730, GO:0006909, GO:0016176, GO:0043020, GO:0035091, GO:0005515, GO:0006801, GO:0043085, GO:0045730, GO:0006909, GO:0016176, GO:0043020, GO:0035091, GO:0005515, GO:0006801, GO:0043085, GO:0045730, GO:0006909, GO:0016176, GO:0043020, GO:0035091, GO:0005515, GO:0006801, GO:0043085"
"farsa"	"GO:0006432, GO:0043039, GO:0004826, GO:0000049, GO:0004812, GO:0000166, GO:0005737, GO:0005524, GO:0005829, GO:0009328, GO:0006432, GO:0043039, GO:0004826, GO:0000049, GO:0004812, GO:0000166, GO:0005737, GO:0005524, GO:0005829, GO:0009328"
"tgm3.2"	"GO:0018149, GO:0003810, GO:0018149, GO:0003810, GO:0046872"
"ftsj3"	"GO:0031167, GO:0032259, GO:0001510, GO:0008168, GO:0006364, GO:0008649, GO:0005634, GO:0016740, GO:0005730, GO:0042254, GO:0030687, GO:0016435, GO:0000463, GO:0008650, GO:0000453, GO:0000466, GO:0030688"
"wnt7c"	"GO:0016055, GO:0007275, GO:0005102, GO:0005576, GO:0005109, GO:0030182, GO:0045165, GO:0005615, GO:0046330"
"eif2b4"	"GO:0044237, GO:0044237"
"nme5"	"GO:0048515, GO:0006241, GO:0006183, GO:0006228, GO:0006165, GO:0004550, GO:1902176"
"sugt1"	"GO:0005515, GO:0031647, GO:0050821, GO:0005515, GO:0031647, GO:0050821"
"zic5"	"GO:0003676, GO:0005634, GO:0000977, GO:0000981, GO:0006357, GO:0007417, GO:0001841, GO:0030901, GO:0033278, GO:0042127, GO:0050767"
"lgi4"	"GO:0005515"
"hsd17b10"	"GO:0016491, GO:0055114"
"mfge8"	"GO:0005509, GO:0005509"
"clybl"	"GO:0003824, GO:0046872, GO:0047777, GO:0106064"
"ptafr"	"GO:0004992, GO:0006935, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0007165, GO:0045028, GO:0035589"
"nanos2"	"GO:0003723, GO:0008270, GO:0006417"
"epc1"	"GO:0032777, GO:0035267, GO:0006357, GO:0005634, GO:0004402, GO:0016573, GO:0032777, GO:0035267, GO:0006357, GO:0005634, GO:0004402, GO:0016573"
"cdh4"	"GO:0098609, GO:0007156, GO:0005886, GO:0007155, GO:0005509, GO:0016020, GO:0016021, GO:0046872, GO:0042803, GO:0009986, GO:0008092, GO:0045296, GO:0000902, GO:0007043, GO:0016339, GO:0034332, GO:0044331, GO:0005913, GO:0016342"
"dnajc8"	"GO:0005634"
"wnt8a"	"GO:0016055, GO:0007275, GO:0005102, GO:0005576, GO:0005109, GO:0030182, GO:0045165, GO:0005615"
"pdcd6"	"GO:0005509"
"crp.4"	"GO:0046872, GO:0005576, GO:0005615, GO:0001849, GO:0030169, GO:0006958, GO:0045087"
"grin2c"	"GO:0004970, GO:0038023, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0005886, GO:0098839, GO:0030054, GO:0034220, GO:0045202, GO:0035235, GO:0045211, GO:0060291, GO:0004972, GO:0060079, GO:0017146"
"ano6"	"GO:0034767, GO:0030501, GO:0002407, GO:1902476, GO:0061588, GO:0007596, GO:0046983, GO:0016020, GO:0016021, GO:0002040"
"eif2b3"	"GO:0016779, GO:0009058, GO:0016779, GO:0009058"
"mgc107876"	"GO:0046872, GO:0005576, GO:0005615, GO:0001849, GO:0030169, GO:0006958, GO:0045087"
"apcs"	"GO:0046872, GO:0005576, GO:0005615, GO:0001849, GO:0030169, GO:0006958, GO:0045087"
"st8sia1"	"GO:0008373, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0097503, GO:0005794, GO:0008373, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0097503, GO:0005794"
"fam13b"	"GO:0007165"
"ss18"	"GO:0003713, GO:0005634, GO:0045944, GO:0045893, GO:0003713, GO:0005634, GO:0045944, GO:0045893"
"pigm"	"GO:0016758, GO:0006506, GO:0016021, GO:0016020, GO:0016740, GO:0016757, GO:0005783, GO:0005789"
"syp"	"GO:0048168, GO:0008021, GO:0016020, GO:0016021"
"tmem104"	"GO:0016020, GO:0016021"
"tmem63b"	"GO:0003676, GO:0016020, GO:0016021, GO:0005886, GO:0005227, GO:0034220"
"tmem44"	"GO:0016020, GO:0016021"
"kif5b"	"GO:0008017, GO:0003777, GO:0007018, GO:0005524, GO:0000166, GO:0016887, GO:0005874, GO:0003774, GO:0005871, GO:0008017, GO:0003777, GO:0007018, GO:0005524, GO:0000166, GO:0016887, GO:0005874, GO:0003774, GO:0005871"
"dlx4"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0000978, GO:0003700, GO:0000122, GO:0006357"
"pum1"	"GO:0003723"
"abhd2"	"GO:0016298, GO:0034338, GO:0047372, GO:0043401, GO:0044255, GO:0046464, GO:0048240, GO:0051792, GO:0051793, GO:0036126, GO:0097524"
"znf513"	"GO:0006355, GO:0003676, GO:0005622, GO:0046872, GO:0005634, GO:0003700, GO:0043565, GO:0045944, GO:0045893, GO:0045892, GO:0005654, GO:0003676, GO:0005634, GO:0010468, GO:0035097, GO:0000979"
"ahrr"	"GO:0009410, GO:0006805, GO:0006355, GO:0000122, GO:0045944"
"tsnare1"	"GO:0016020, GO:0016192, GO:0006886, GO:0016021, GO:0000149, GO:0031201, GO:0005484, GO:0006906, GO:0048278, GO:0012505"
"col4a6"	"GO:0005581, GO:0005201, GO:0005615, GO:0030198, GO:0031012, GO:0038063, GO:0005587"
"dlx3"	"GO:0003677, GO:0005634, GO:0000978, GO:0003700, GO:0043565, GO:0006357, GO:0030154, GO:0030855"
"atp13a3"	"GO:0000166, GO:0016887, GO:0006812, GO:0016021, GO:0016020, GO:0016787, GO:0046872, GO:0005524, GO:0005623, GO:0006874"
"itga3"	"GO:0008305, GO:0007155, GO:0016020, GO:0016021, GO:0007229"
"elf1"	"GO:0043565, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0006357, GO:0000981, GO:0030154"
"slco4a1"	"GO:0005215, GO:0055085, GO:0016020, GO:0005515, GO:0016021, GO:0005887, GO:0006811, GO:0005886, GO:0015347, GO:0043252, GO:0015349, GO:0070327, GO:0005215, GO:0055085, GO:0016020, GO:0005515, GO:0016021, GO:0005887, GO:0006811, GO:0005886, GO:0015347, GO:0043252, GO:0015349, GO:0070327"
"scube1"	"GO:0005509, GO:0009986, GO:0005615"
"prickle3"	"GO:0008270, GO:0046872, GO:0008270, GO:0046872"
"cox11"	"GO:0005507, GO:0016020, GO:0016021"
"pvalb"	"GO:0005509, GO:0046872, GO:0005634, GO:0005737, GO:0005509, GO:0046872, GO:0005634, GO:0005737"
"arih2"	"GO:0016567, GO:0004842, GO:0046872, GO:0016740, GO:0006511, GO:0000151, GO:0005737, GO:0061630, GO:0031624, GO:0000209, GO:0032436"
"syce2"	"GO:0000801, GO:0007130"
"plp2"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"ptp4a3"	"GO:0016791, GO:0016311, GO:0008138, GO:0006470, GO:0005634, GO:0004725, GO:0005737, GO:0035335, GO:0043542"
"gcdh"	"GO:0003995, GO:0016627, GO:0050660, GO:0055114, GO:0016491, GO:0005739"
"mgc79752"	"GO:0016491, GO:0055114, GO:0016491, GO:0055114"
"gfpt2"	"GO:1901137, GO:0004360, GO:1901135, GO:0097367, GO:0006002, GO:0006487, GO:0006047, GO:1901135, GO:0097367, GO:0006002, GO:0006487, GO:0004360, GO:0006047, GO:1901137"
"odf2l"	"GO:0034451, GO:1902018"
"mrpl14"	"GO:0005840, GO:0006412, GO:0003735, GO:0005739"
"trps1"	"GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003676, GO:0008270, GO:0046872"
"ddost"	"GO:0018279, GO:0005789, GO:0016020, GO:0016021, GO:0006486, GO:0005783"
"ift27"	"GO:0005525, GO:0003924, GO:0006886, GO:0032482, GO:0005623"
"dbx2"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0006357"
"ptch2"	"GO:0008158, GO:0016021, GO:0016020, GO:0005886, GO:0007224, GO:0097108, GO:0005119"
"tgm5"	"GO:0018149, GO:0003810, GO:0046872"
"taf4b"	"GO:0006352, GO:0005669, GO:0046982, GO:0003700, GO:0006355, GO:0003677, GO:0045944, GO:0008134"
"nell2"	"GO:0005509, GO:0005515, GO:0005576"
"paqr8"	"GO:0016021, GO:0016020, GO:0043401, GO:0005886, GO:0038023, GO:0048545, GO:0005496, GO:0003707, GO:0007165"
"rraga"	"GO:0005525, GO:0005634, GO:0003924, GO:0005764, GO:0034448, GO:0071230, GO:0010506, GO:0009267, GO:0032008, GO:1905671, GO:2000425, GO:1990131, GO:0005525, GO:0005634, GO:0003924, GO:0005764, GO:0034448, GO:0071230, GO:0010506, GO:0009267, GO:0032008, GO:1990131"
"rlbp1"	"GO:0016918, GO:0007601"
"gpkow"	"GO:0003676"
"efhc1"	""
"wbp4"	"GO:0000398, GO:0005634, GO:0003676, GO:0008270, GO:0005515, GO:0046872, GO:0000398, GO:0005634, GO:0003676, GO:0008270, GO:0005515, GO:0046872, GO:0000398, GO:0005634, GO:0003676, GO:0008270, GO:0005515, GO:0046872"
"clca3p"	"GO:0005229, GO:0006821, GO:0005887, GO:0034220"
"cacng2"	"GO:0005891, GO:0005245, GO:0006816, GO:0070588, GO:0016020, GO:0016021, GO:0006811, GO:0005244, GO:0005262, GO:0016247, GO:0019226, GO:0034765, GO:0051968, GO:0098943, GO:0098970, GO:0099590, GO:2000311, GO:0032281, GO:0098839"
"uevld"	"GO:0019752, GO:0016616, GO:0006464, GO:0005975, GO:0015031, GO:0016491, GO:0055114, GO:0003824"
"gp5"	"GO:0005515"
"lrrc15"	"GO:0005515, GO:0016020, GO:0016021, GO:0005615, GO:0031012"
"naif1"	"GO:0006915, GO:0005634, GO:0006915, GO:0005634"
"kctd1"	"GO:0051260, GO:0005515"
"tspo"	"GO:0016021, GO:0016020, GO:0005741, GO:0016021, GO:0016020, GO:0005741"
"gpr20"	"GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0005887, GO:0007165, GO:0035025, GO:0051482"
"eif3d"	"GO:0005852, GO:0003743, GO:0005737, GO:0003723, GO:0006412, GO:0001732, GO:0002183, GO:0006413, GO:0016282, GO:0033290, GO:0098808, GO:0002191"
"slc9a3r1"	"GO:0032947, GO:0005515, GO:0016020, GO:0012505, GO:0032947, GO:0005515, GO:0016020, GO:0012505"
"slc45a4"	"GO:0055085, GO:0016021, GO:0016020, GO:0008506, GO:0015770"
"slc25a25"	"GO:0005743, GO:0022857, GO:0055085, GO:0005509, GO:0016020, GO:0016021, GO:0046872, GO:0005739, GO:0005347, GO:0015867"
"tram2"	"GO:0006616, GO:0016021, GO:0016020, GO:0015031, GO:0005791, GO:0006616, GO:0016021, GO:0016020, GO:0015031, GO:0005791"
"aqp4"	"GO:0015267, GO:0055085, GO:0016020, GO:0016021, GO:0005886, GO:0015250, GO:0006833, GO:0016323, GO:0005372"
"c20orf85"	""
"taf4"	"GO:0006352, GO:0005669, GO:0046982, GO:0003700, GO:0006355, GO:0003677, GO:0045944, GO:0008134, GO:0006352, GO:0005669, GO:0046982, GO:0003700, GO:0006355, GO:0003677, GO:0045944, GO:0008134"
"tbc1d16"	"GO:0017137, GO:0005769, GO:0006886, GO:0005096, GO:0090630"
"ttc38"	"GO:0005515"
"adamts2"	"GO:0008233, GO:0004222, GO:0008237, GO:0006508"
"gbp4"	"GO:0005525, GO:0003924, GO:0016020, GO:0000166, GO:0005525, GO:0003924, GO:0016020, GO:0000166"
"cbx4"	"GO:0005634"
"dennd3"	"GO:0005515"
"lgals9"	"GO:0030246, GO:0030246"
"rhcg"	"GO:0015696, GO:0008519, GO:0016020, GO:0016021, GO:0005887, GO:0005886, GO:0072488, GO:0016324, GO:0015696, GO:0008519, GO:0016020, GO:0016021, GO:0072488"
"eda2r"	"GO:0005515, GO:0016020, GO:0016021, GO:0005887"
"rab37"	"GO:0005525, GO:0003924, GO:0006886, GO:0032482, GO:0005623"
"nkain1"	"GO:0016020, GO:0016021, GO:0005886, GO:0002028"
"p4htm"	"GO:0031418, GO:0016491, GO:0016705, GO:0005506, GO:0005509, GO:0055114, GO:0016020, GO:0016021, GO:0046872, GO:0005783, GO:0004656, GO:0018401"
"stard8"	"GO:0008289, GO:0007165"
"cbx8"	"GO:0005634, GO:0005634"
"rplp1"	"GO:0005840, GO:0006414, GO:0003735, GO:0005622, GO:0030295, GO:0032147, GO:0022625, GO:0002181, GO:0043021, GO:0030218"
"vwa5b1"	""
"frzb2"	"GO:0005515, GO:0017147, GO:0007275, GO:0016055, GO:0005615, GO:0060070, GO:0090090, GO:0035567"
"mtrf1"	"GO:0006415, GO:0003747, GO:0005739, GO:0043022, GO:0016149, GO:0070126"
"ago2"	"GO:0016442, GO:0031047, GO:0070551, GO:0006355, GO:0003676, GO:0005515, GO:0016787, GO:0046872, GO:0003723, GO:0004518, GO:0000932, GO:0005737, GO:0090502, GO:0004519, GO:0006417, GO:0035198, GO:0035278, GO:0035197, GO:0031054, GO:0000340, GO:0016891, GO:0070883, GO:0035196, GO:0035279, GO:0043363, GO:0045947, GO:0005845, GO:0035068"
"mustn1"	"GO:0035988, GO:0002062, GO:0042246, GO:0005634"
"btbd19"	"GO:0005515"
"yars2"	"GO:0006418, GO:0004812, GO:0000166, GO:0003723, GO:0005524, GO:0005829, GO:0005739, GO:0016874, GO:0006412, GO:0004831, GO:0043039"
"xkr5"	"GO:0016021, GO:0016020, GO:0016021, GO:0016020, GO:0016021, GO:0016020"
"col27a1"	"GO:0005201, GO:0005615, GO:0030198, GO:0031012"
"stimate"	"GO:0016020, GO:0016021, GO:0005246, GO:0032541, GO:0032237, GO:0035584, GO:0016020, GO:0016021, GO:0005246, GO:0032541, GO:0032237, GO:0035584, GO:0016020, GO:0016021, GO:0005246, GO:0032541, GO:0032237, GO:0035584"
"snrnp40"	"GO:0005515, GO:0005515"
"xylt2"	"GO:0006024, GO:0030158, GO:0008375, GO:0016020"
"ppp2r1a"	"GO:0065003, GO:0019888, GO:0005515, GO:0006470, GO:0005737, GO:0004722, GO:0043666, GO:0000159, GO:0065003, GO:0019888, GO:0005515, GO:0006470, GO:0005737, GO:0004722, GO:0043666, GO:0000159"
"plk3"	"GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0005515, GO:0005634, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0005737, GO:0006974, GO:0000278, GO:0032465, GO:0000922, GO:0005813, GO:0044819, GO:0090166"
"ttyh2"	"GO:0016020, GO:0016021, GO:0006811, GO:0005886, GO:1902476, GO:0005254, GO:0006821, GO:0034707, GO:0016020, GO:0016021, GO:0006811, GO:1902476, GO:0005254, GO:0006821, GO:0034707"
"dnm1l"	"GO:0005525, GO:0003924, GO:0000166, GO:0000266, GO:0016559"
"dpy19l1"	"GO:0016021, GO:0016020, GO:0005637, GO:0000030, GO:0018406"
"lsm14b"	"GO:0005737, "
"arhgap12"	"GO:0007165, GO:0005515, GO:0005737, GO:0005096, GO:0043547, GO:0043087"
"slc25a20"	"GO:0022857, GO:0016020, GO:0016021, GO:0055085"
"naa16"	"GO:0005515, GO:0005737, GO:0004596, GO:0017196, GO:0031415"
"clk1"	"GO:0005524, GO:0004672, GO:0006468, GO:0000166, GO:0004674"
"lcat"	"GO:0008374, GO:0006629"
"pdia6"	"GO:0016853, GO:0045454, GO:0005623"
"cbs"	""
"rab3d"	"GO:0005525, GO:0003924, GO:0005768, GO:0072659, GO:0005886, GO:0006886, GO:0006904, GO:0009306, GO:0017157, GO:0032482, GO:0008021, GO:0031982"
"arap2"	"GO:0005547, GO:0043547, GO:0005096, GO:0007165, GO:0046872, GO:0005547, GO:0043547, GO:0005096, GO:0007165"
"sall3"	"GO:0003676, GO:0005634, GO:0006355"
"vwa1"	"GO:0005515, GO:0005615, GO:0031012, GO:0003429, GO:0062023"
"ctsb"	"GO:0050790, GO:0004197, GO:0008234, GO:0006508, GO:0016787, GO:0005615, GO:0005764, GO:0051603, GO:0008233, GO:0050790, GO:0004197, GO:0008234, GO:0006508, GO:0016787, GO:0005615, GO:0005764, GO:0051603, GO:0008233, GO:0009953, GO:0031101, GO:0060026, GO:0090504"
"atad3a"	"GO:0007005, GO:0005524, GO:0005739, GO:0016020, GO:0016021, GO:0000166, GO:0005743, GO:0008270, GO:0042645"
"atp9b"	"GO:0005802, GO:0004012, GO:0000166, GO:0015914, GO:0005524, GO:0000287, GO:0016021, GO:0005768, GO:0016020, GO:0005886, GO:0045332, GO:0006897, GO:0006890"
"ldhd"	"GO:0050660, GO:0071949, GO:0016491, GO:0055114, GO:0003824, GO:0005739, GO:0004458, GO:0008720, GO:1903457"
"tmem205"	"GO:0016020, GO:0016021"
"ccndbp1"	"GO:0051726, GO:0005634"
"fgd4"	"GO:0035023, GO:0005089, GO:0005085, GO:0046872"
"sfmbt1"	"GO:0006355, GO:0005634, GO:0006355, GO:0005634, GO:0005515"
"psma7"	"GO:0019773, GO:0004175, GO:0005839, GO:0051603, GO:0004298, GO:0006511, GO:0005634, GO:0016787, GO:0005737, GO:0008233, GO:0006508, GO:0043161, GO:0000502, GO:0010498, GO:0010499, GO:0098794, GO:0019773, GO:0004175, GO:0005839, GO:0051603, GO:0004298, GO:0006511, GO:0005634, GO:0016787, GO:0005737, GO:0008233, GO:0006508, GO:0043161, GO:0000502, GO:0010498, GO:0010499, GO:0098794"
"tmem117"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"polg"	"GO:0005760, GO:0006260, GO:0003887, GO:0003677, GO:0090305, GO:0005739, GO:0008408, GO:0071897, GO:0006264"
"znfx1"	"GO:0003700, GO:0006355, GO:0005634, GO:0008270, GO:0003723, GO:0031048, GO:0030702, GO:0000775, GO:0031380"
"zcchc17"	"GO:0003676, GO:0008270, GO:0003676, GO:0008270"
"e2f4"	"GO:0000278, GO:0005667, GO:0003700, GO:0006355, GO:0046983, GO:0003677, GO:0005634, GO:0043565, GO:0000122, GO:0045944, GO:0000981, GO:0008134, GO:0090575, GO:0051726"
"plppr2"	"GO:0016020, GO:0016021, GO:0005887, GO:0008195, GO:0016791, GO:0042577, GO:0006644, GO:0046839"
"dthd1"	"GO:0007165, GO:0005515"
"prkar2a"	"GO:0005952, GO:0001932, GO:0008603, GO:0000166, GO:0005829, GO:0030552, GO:0019934, GO:0047555, GO:0045859"
"nwd2"	"GO:0005515, GO:0051082, GO:0042273"
"fanci"	"GO:0006281, GO:0070182"
"rell1"	"GO:0016020, GO:0016021"
"twf1"	"GO:0030837, GO:0003779, GO:0005622, GO:0030837, GO:0003779, GO:0005622, GO:0005737, GO:0005856, GO:0051015, GO:0030016, GO:0005884, GO:0051016, GO:0010591, GO:0010976, GO:0003785, GO:0042989, GO:0030042"
"zeb1"	"GO:0003676, GO:0003677, GO:0003676, GO:0003677"
"elmo3"	"GO:0016477"
"hnrnpab"	"GO:0003676, GO:0003723, GO:0043565, GO:0005654, GO:1990837, GO:1990904"
"fdft1"	"GO:0006696, GO:0051996, GO:0004310, GO:0008610, GO:0016765, GO:0016740, GO:0009058, GO:0016021, GO:0005789, GO:0006695, GO:0045338, GO:0006696, GO:0051996, GO:0004310, GO:0008610, GO:0016765, GO:0016740, GO:0009058, GO:0016021"
"snrpb"	"GO:0005634, GO:0003723, GO:0005737, GO:0000398, GO:0005682, GO:0005685, GO:0005686, GO:0005687, GO:0071004, GO:0071013, GO:0046540, GO:0005634, GO:0003723, GO:0005737, GO:0000398, GO:0005682, GO:0005685, GO:0005686, GO:0005687, GO:0071004, GO:0071013, GO:0046540"
"swsap1"	"GO:0097196, GO:0000725, GO:0003697, GO:0016887"
"atp6v1c2"	"GO:0015078, GO:0033180, GO:0015991, GO:0006811, GO:0046961, GO:0008553, GO:0000221"
"epor"	"GO:0004888, GO:0016021, GO:0005515, GO:0016020, GO:0004888, GO:0016021, GO:0005515, GO:0016020"
"mrpl27"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622, GO:0005762"
"nfatc1"	"GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0005829, GO:0000978, GO:0045944, GO:0044798, GO:0005667, GO:0008134, GO:0003682, GO:0033173, GO:0001816, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0005829, GO:0000978, GO:0045944, GO:0044798, GO:0005667, GO:0008134, GO:0003682, GO:0033173, GO:0001816, GO:0009612"
"ss18l1"	"GO:0003713, GO:0005634, GO:0045944, GO:0045893, GO:0050775"
"pgm2"	"GO:0071704, GO:0016868, GO:0005975, GO:0000287, GO:0071704, GO:0016868, GO:0005975, GO:0000287, GO:0046872"
"eme1"	"GO:0048476, GO:0004518, GO:0006281, GO:0005634, GO:0003677, GO:0090305, GO:0006302, GO:0000790, GO:0031573, GO:0031297, GO:0008821, GO:0000712"
"tmem240"	"GO:0016020, GO:0016021, GO:0097060"
