"Gene_name"	"GO_terms"
"mgc108077"	"GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0033781, GO:0006707, GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0006707, GO:0033781, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497"
"ubap2l"	"GO:0005515, GO:0005634, GO:0005737, GO:0061484, GO:0005634, GO:0005737, GO:0061484"
"dupd1"	"GO:0016791, GO:0006470, GO:0016311, GO:0008138"
"scn4a"	"GO:0001518, GO:0005248, GO:0055085, GO:0005216, GO:0006811, GO:0006814, GO:0016020, GO:0005515, GO:0016021, GO:0005886, GO:0005244, GO:0034765, GO:0030424, GO:0035725, GO:0005272, GO:0019228, GO:0086010"
"crybg1"	""
"tpsab1"	"GO:0006508, GO:0004252, GO:0005615"
"ptp4a2"	"GO:0004725, GO:0006470, GO:0005634, GO:0005737, GO:0016311, GO:0035335, GO:0016791"
"rtn4ip1"	"GO:0016491, GO:0055114, GO:0005739, GO:0008270"
"angptl5"	""
"c9orf72"	"GO:0005085, GO:0005768, GO:0006897, GO:0005776, GO:0006914, GO:0001966, GO:0021952, GO:0036268, GO:0036269, GO:0061564, GO:0005085, GO:0005768, GO:0006897, GO:0005776, GO:0006914"
"npnt"	"GO:0005509, GO:0016020"
"trpc6"	"GO:0070588, GO:0005262, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0005515, GO:0005887, GO:0015279, GO:0070679, GO:0006828, GO:0007338, GO:0051480, GO:0034703"
"qrsl1"	"GO:0004040, GO:0030956, GO:0006412, GO:0050567, GO:0000166, GO:0005524, GO:0005739, GO:0016874, GO:0016884, GO:0032543, GO:0070681"
"dcdc2b"	"GO:0035556, GO:0005874, GO:0030864, GO:0005815"
"epha8"	"GO:0005004, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0016020, GO:0016021, GO:0005887, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0004714, GO:0007169, GO:0018108, GO:0043235, GO:0005005, GO:0007411, GO:0048013, GO:0043005, GO:0005004, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0016020, GO:0016021, GO:0005887, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0004714, GO:0007169, GO:0018108, GO:0043235, GO:0005005, GO:0007411, GO:0048013, GO:0043005"
"42sp50"	"GO:0006414, GO:0003746, GO:0005525, GO:0003924, GO:0000166, GO:0006412"
"ccdc28b"	"GO:0005813, GO:0060271"
"slc30a3"	"GO:0006812, GO:0008324, GO:0055085, GO:0016021, GO:0016020, GO:0005886, GO:0005385, GO:0010043, GO:0061088, GO:0071577"
"txlna"	"GO:0019905"
"pgq"	"GO:0005615, GO:0010469, GO:0030424, GO:0005184, GO:0005179, GO:0007586"
"xt6l"	"GO:0005576, GO:0005179, GO:0005615, GO:0010469, GO:0007186, GO:0032094"
"c16orf91"	"GO:0016020, GO:0016021"
"hist2h3d"	"GO:0000786, GO:0046982, GO:0003677, GO:0005634, GO:0005694, GO:0031492"
"gstcd"	"GO:0005737"
"adarb2"	"GO:0006396, GO:0004000, GO:0003723, GO:0005634, GO:0005737, GO:0005730, GO:0003725, GO:0003726, GO:0008251, GO:0006382"
"gtf3c2"	"GO:0005515, GO:0006383, GO:0000127, GO:0000995"
"unkl"	"GO:0046872, GO:0005829, GO:0016567, GO:0005515, GO:0004842"
"c6orf203"	"GO:0003723"
"tph2"	"GO:0042427, GO:0004510, GO:0016714, GO:0009072, GO:0004497, GO:0005506, GO:0055114, GO:0046872, GO:0043005"
"mob3b"	", , "
"mgc108213"	"GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0004497, GO:0006707, GO:0033781"
"pdss2"	"GO:0008299, GO:0016740, GO:0008299, GO:0016740"
"snx5"	"GO:0006907, GO:0006886, GO:0035091, GO:0005623, GO:0015031, GO:0006907, GO:0006886, GO:0035091, GO:0015031, GO:0007219, GO:0030097, GO:0042063, GO:0048514, GO:0060041, GO:0005769"
"pgr"	"GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0008270, GO:0003677, GO:0046872, GO:0003707, GO:0005496, GO:0030728, GO:0042700, GO:0043401"
"tnfsf15"	"GO:0006955, GO:0006915, GO:0005164, GO:0005576, GO:0007165, GO:0016020, GO:0005515, GO:0016021, GO:0010469, GO:0005125, GO:0005615"
"tnc"	"GO:0062023, GO:0042127, GO:0007155, GO:0005515"
"kpna6"	"GO:0061608, GO:0006606, GO:0008565, GO:0005737, GO:0005634, GO:0005515, GO:0005829, GO:0015031, GO:0005654, GO:0006607, GO:0005643, GO:0008139"
"ints12"	"GO:0016180, GO:0046872"
"pax1"	"GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0007275"
"kcnc1"	"GO:0008076, GO:0005249, GO:0051260, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0006813, GO:0016021, GO:0005515, GO:0005244, GO:0034765, GO:0030424, GO:0043025, GO:0005267, GO:0071805, GO:0005251, GO:0032590, GO:0032809"
"elavl1"	"GO:0003723, GO:0003676, GO:0003723, GO:0003676"
"tbc1d15"	"GO:0017137, GO:0006886, GO:0005623, GO:0005096, GO:0090630"
"opcml"	", "
"fam49b"	", GO:0016020, GO:0016021"
"sobp"	""
"nkx2-2"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0000978, GO:0003700, GO:0045944, GO:0030154, GO:0021508, GO:0021514"
"arhgap42"	"GO:0007165, GO:0005515, GO:0005096, GO:0043547"
"aup1"	"GO:0016020, GO:0016021, GO:0043130, GO:0030176, GO:0030433, GO:0050790, GO:0097027, GO:0000839"
"nkx2-4"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0000978, GO:0003700, GO:0045944, GO:0030154"
"cyp2w1"	"GO:0016712, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0005737, GO:0043231, GO:0004497, GO:0008395, GO:0006082, GO:0006805, GO:0042738"
"xrn2"	"GO:0004527, GO:0003676, GO:0016787, GO:0005634, GO:0004518, GO:0090305, GO:0090503, GO:0006397, GO:0006139, GO:0004534, GO:0006139, GO:0004534, GO:0004527, GO:0005634, GO:0003676, GO:0090305, GO:0090503"
"ap5z1"	"GO:0044599"
"abcf2"	", GO:0016887, GO:0005524, GO:0000166"
"arhgef38"	"GO:0035023, GO:0005089, GO:0005737, GO:0005515"
"wdr37"	"GO:0005515"
"ppa1"	"GO:0006796, GO:0004427, GO:0005737, GO:0000287"
"scml4"	"GO:0005515, GO:0060216"
"tek"	"GO:0005887, GO:0007169, GO:0004714, GO:0005524, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0016020, GO:0016021, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0018108, GO:0043235, GO:0051897, GO:0001525, GO:0045766, GO:0014068, GO:0010595, GO:0001935"
"pitpnb"	"GO:0015914, GO:0005548, GO:0005622, GO:0005737, GO:0035091, GO:0008525, GO:0008526, GO:0031210, GO:0005783, GO:0005802, GO:0015914, GO:0005548, GO:0005622, GO:0005737, GO:0035091, GO:0008525, GO:0008526, GO:0031210"
"ntm"	""
"sec63"	"GO:0031204, GO:0016020, GO:0016021, GO:0005783, GO:0008565, GO:0006620, GO:0001889, GO:0006614, GO:0030968, GO:0042552, GO:0031207"
"cat1"	"GO:0006816, GO:0005262, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0005515, GO:0005887, GO:0034220, GO:0070588"
"rem1"	"GO:1901842, GO:0007165, GO:0005525, GO:0003924, GO:0016020, GO:0000166, GO:0005886, GO:0005246, GO:1901842, GO:0007165, GO:0005525, GO:0003924, GO:0016020, GO:0000166, GO:0005886, GO:0005246"
"tktl2"	"GO:0003824"
"mia2"	"GO:0005515, GO:0016020, GO:0016021, GO:0009306, GO:0005789, GO:0042954, GO:0042953"
"tmem39b"	"GO:0016020, GO:0016021"
"mgc89871"	"GO:0006413, GO:0003743, GO:0005737, GO:0003723, GO:0006412, GO:0016281, GO:0000340"
"cfap44"	", GO:0005515"
"dzip1l"	"GO:0003676, GO:0005737, GO:0060271, GO:0036064, GO:0003676, GO:0005737, GO:0060271, GO:0036064"
"tph1"	"GO:0042427, GO:0004510, GO:0016714, GO:0009072, GO:0004497, GO:0005506, GO:0055114, GO:0046872, GO:0043005"
